City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Lodhran,PK,29.5405,71.6336,66.07,27,0,5.5,clear sky
243,Lasa,IT,46.6166,10.7002,33.01,68,0,5.75,clear sky
244,Gamboula,CF,4.1178,15.1393,69.3,82,2,1.59,clear sky
245,Oriximina,BR,-1.7656,-55.8661,73.13,96,100,3.04,overcast clouds
246,Mar Del Plata,AR,-38.0023,-57.5575,66.99,82,20,5.75,few clouds
247,Tapiramuta,BR,-11.8472,-40.7914,68.18,63,16,2.95,few clouds
248,Khilok,RU,51.3674,110.4676,24.12,91,4,7.81,clear sky
249,Kobyzhcha,UA,50.8285,31.5044,15.8,79,0,2.24,clear sky
250,Makrana,IN,27.05,74.7167,67.98,33,0,7.74,clear sky
251,Alta Floresta,BR,-9.8756,-56.0861,71.87,83,97,0.94,overcast clouds
252,Yazykovo,RU,55.2199,56.1353,9.88,96,100,8.61,overcast clouds
253,Ardakan,IR,32.31,54.0175,57.2,23,0,2.3,clear sky
254,Baruun-Urt,MN,46.6806,113.2792,29.8,90,76,8.61,broken clouds
255,Kutum,SD,14.2,24.6667,60.94,26,0,5.5,clear sky
256,Hamilton,US,39.1834,-84.5333,57.2,35,1,8.05,clear sky
257,Kosino,RU,58.4127,51.2782,-10.35,88,86,9.64,overcast clouds
258,Bambous Virieux,MU,-20.3428,57.7575,75.99,94,20,1.14,few clouds
259,Barrow,US,71.2906,-156.7887,15.8,53,1,21.85,snow
260,Sangar,RU,63.9242,127.4739,0.03,92,100,18.05,light snow
261,San Angelo,US,31.4638,-100.437,68.0,61,100,8.99,overcast clouds
262,Kalevala,RU,65.2,31.1667,-1.61,91,4,5.48,clear sky
263,Laylay,PH,13.4391,121.8202,82.0,72,0,10.0,clear sky
264,Shangqiu,CN,34.45,115.65,55.99,74,0,6.4,clear sky
265,Cayenne,GF,4.9333,-52.3333,80.01,83,20,4.61,few clouds
266,Richards Bay,ZA,-28.783,32.0377,80.87,64,90,12.68,overcast clouds
267,Klaksvik,FO,62.2266,-6.589,44.6,81,75,24.16,broken clouds
268,Opuwo,NA,-18.0607,13.84,63.28,38,95,1.83,overcast clouds
269,Ahuimanu,US,21.4447,-157.8378,77.0,83,90,14.97,light rain
270,Ekhabi,RU,53.5102,142.9671,14.05,95,7,8.28,clear sky
271,Namibe,AO,-15.1961,12.1522,75.61,75,95,4.92,overcast clouds
272,Bria,CF,6.5423,21.9863,76.98,36,29,0.56,scattered clouds
273,Kirakira,SB,-10.4544,161.9205,86.38,66,91,4.83,overcast clouds
274,Kristiansund,NO,63.1115,7.732,33.8,75,56,6.91,broken clouds
275,Lompoc,US,34.6391,-120.4579,55.4,62,1,9.22,clear sky
276,Caravelas,BR,-17.7125,-39.2481,76.82,86,100,3.89,moderate rain
277,Nioro,GM,13.35,-15.75,77.36,18,0,10.09,clear sky
278,Bangkal,PH,6.0667,121.0667,84.11,65,73,1.9,broken clouds
279,Belmonte,BR,-15.8631,-38.8828,77.0,73,0,6.91,clear sky
280,Veraval,IN,20.9,70.3667,71.94,75,0,11.3,clear sky
281,Tuatapere,NZ,-46.1333,167.6833,61.0,78,57,10.0,broken clouds
282,Sambava,MG,-14.2667,50.1667,75.29,90,100,5.77,overcast clouds
283,Hambantota,LK,6.1241,81.1185,73.4,100,20,2.3,few clouds
284,Naze,JP,28.3667,129.4833,66.2,63,75,16.11,broken clouds
285,Norman Wells,CA,65.282,-126.8329,6.8,56,1,12.66,clear sky
286,Rio Cuarto,AR,-33.1307,-64.3499,73.4,68,0,13.8,clear sky
287,Cotonou,BJ,6.3654,2.4183,82.6,80,86,14.7,overcast clouds
288,Faanui,PF,-16.4833,-151.75,82.42,74,81,14.54,broken clouds
289,Grand-Santi,GF,4.25,-54.3833,72.54,96,100,2.75,overcast clouds
290,Seymchan,RU,62.8833,152.4333,-11.47,78,9,5.55,clear sky
291,Mlimba,TZ,-8.8,35.8167,69.93,88,100,2.1,overcast clouds
292,Aleppo,SY,36.25,37.5,48.81,83,0,6.2,clear sky
293,Sena Madureira,BR,-9.0656,-68.6569,69.28,97,100,3.76,light rain
294,Blagoyevo,RU,63.3667,47.9167,-10.39,90,97,3.74,overcast clouds
295,Miranda,CO,3.2499,-76.2281,75.2,69,75,14.97,broken clouds
296,Lano,NG,10.1725,11.4715,74.79,18,0,2.39,clear sky
297,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,78.8,78,0,2.3,clear sky
298,Awjilah,LY,29.1081,21.2869,60.08,80,0,9.73,clear sky
299,Bonthe,SL,7.5264,-12.505,78.93,86,0,6.53,clear sky
300,Upington,ZA,-28.4478,21.2561,66.2,30,0,6.91,clear sky
301,Tateyama,JP,34.9833,139.8667,61.0,63,40,12.66,scattered clouds
302,Tupancireta,BR,-29.0806,-53.8358,63.27,74,17,8.21,few clouds
303,Budogoshch,RU,59.2816,32.4707,-10.75,88,0,4.36,clear sky
304,Mtambile,TZ,-5.3833,39.7,78.39,83,8,9.48,clear sky
305,Mandera,KE,3.9366,41.867,75.7,70,0,16.46,clear sky
306,Varenikovskaya,RU,45.1209,37.6417,24.8,86,22,6.71,few clouds
